識別碼,新聞標題,新聞分類,發布日期,新聞前言,新聞連結,來源媒體,來源媒體連結,資料更新時間
news_895dfec007fda4c48dbf3324f9ddee66,川普與賀錦麗何時辯論兜不攏  雙方互相叫陣,即時新聞,8/4/2024 17:59,"莊文仁／核稿編輯
美國共和黨總統候選人川普2日宣布，他已同意《福斯新聞》於9月4日與民主黨總統候選人賀錦麗進行辯論，且不再參加先前同意由《ABC新聞》主持的辯論。川普3日發文聲稱...…",https://news.ltn.com.tw/news/world/breakingnews/4758221,自由時報,https://news.ltn.com.tw/list/breakingnews/all,8/11/2024 20:18
news_ffafd758db4bc071a1aa60d99cdf5f4c,賀錦麗氣勢如虹 7月狂募103億比川普多1倍,即時新聞,8/5/2024 0:11,"美國副總統賀錦麗上月中宣布參選總統以來氣勢如虹，競選團隊在7月總共募得3.1億美元（約102.5億台幣）的資金，比募得1.37億美元（約45.3億台幣）的川普還高1倍以上。
...…",https://news.ltn.com.tw/news/world/breakingnews/4758547,自由時報,https://news.ltn.com.tw/list/breakingnews/all,8/11/2024 20:18
news_4a1e9508420d2ec5c722fd38aa22e035,川普承諾：將結束對海外美國人「雙重徵稅」,即時新聞,10/10/2024 22:04,"林浥樺／核稿編輯
〔財經頻道／綜合報導〕為爭取海外美國人的選票，美國共和黨總統候選人川普（Donald Trump）週三（9日）承諾，若其當選美國總統，將結束對海外美國人的雙重徵稅。


綜合媒...…",https://ec.ltn.com.tw/article/breakingnews/4826504,自由時報,https://news.ltn.com.tw/list/breakingnews/all,10/17/2024 20:25
news_0ec136c98a80e7a571cf2f06e2a93354,軍武書摘》與中國共舞：美中關係五十年,即時新聞,8/1/2024 1:35,"（本文摘錄自釀出版新書《與中國共舞：美中關係五十年》，由秀威資訊授權刊載）

相關新聞請見

因抗蘇聯而相識《美中關係50年》揭兩大國分分合合的感情史


中美雙方最初是為了打擊蘇聯政權而攜手（...…",https://news.ltn.com.tw/news/def/breakingnews/4754663,自由時報,https://news.ltn.com.tw/list/breakingnews/all,8/7/2024 20:17
news_1a264b4dae96cc5d10e3c9084eed2f4c,揚言若川普勝選將發動暴力攻擊　密西根州1男子被捕,新聞雲,11/6/2024 13:24,美國總統大選今天登場，1名25歲男子今天上午在密西根州（Michigan）被捕，他涉嫌寄出恐嚇信，表示若前總統川普（Donald Trump）勝選，將會發動暴力攻擊。,https://www.ettoday.net/news/20241106/2849292.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 20:19
news_3ebc18ca9628ad9bdff728e673645c06,選舉之夜川普在佛州豪宅辦派對　賀錦麗返母校看開票,新聞雲,11/6/2024 13:19,有線電視新聞網（CNN）引述若干消息來源報導，共和黨候選人川普將偕同家人和朋友在佛羅里達州豪宅海湖俱樂部看開票。他的對手賀錦麗則會回華府母校舉行開票之夜。,https://www.ettoday.net/news/20241106/2849291.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 20:19
news_095c334ebdbc0730ed1b0e54d0f0cc63,快訊／美選3州開票出爐！　川普19：3領先賀錦麗,新聞雲,11/6/2024 16:07,美國總統大選陸續開票，根據《美聯社》報導，川普在肯塔基州、印第安納州收下19張選舉人票；賀錦麗則拿下佛摩特州3張選舉人票。川普目前以19：3領先賀錦麗。,https://www.ettoday.net/news/20241106/2849337.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 20:19
news_51070c67c5b853287a06a8511d87eb85,奧運拳擊》林郁婷不該受如此虐待！澳洲女將：媒體濫用權力隨波逐流,即時新聞,8/4/2024 18:58,"李冠霖／核稿編輯
台灣拳后林郁婷以及阿爾及利亞拳擊女將凱莉芙兩人在去年世錦賽遭國際拳總（IBA）未公開的檢測結果片面認定取消資格，本屆奧運又被舊事重提，甚至吸引名作家J.K...…",https://sports.ltn.com.tw/news/breakingnews/4758286,自由時報,https://news.ltn.com.tw/list/breakingnews/all,8/11/2024 20:18
news_b10c3fb7db9f0179cf76c2be06fe0729,民調：選民為民主投賀錦麗　為移民與經濟投川普,新聞雲,11/6/2024 19:14,美國總統大選中，選民為了截然不同的動機而把票分別投給民主黨候選人賀錦麗（Kamala Harris）和共和黨候選人川普，反映出美國人在國家面臨哪些難題上，看法明顯分歧。,https://www.ettoday.net/news/20241106/2849522.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 20:19
news_9a6f4921ff2298c3d191d9aaf6194c63,快訊／震撼彈！川普勝率衝破90％　《紐時》首次看好川普,新聞雲,11/6/2024 19:31,2024美國總統大選開票進行中！根據最新開票結果，共和黨候選人川普已拿下205張選舉人票，僅需再獲得65張就能重返白宮。根據最新數據，川普的勝選機率持續攀升，Polymarket平台預測更一舉突破90%大關，創下歷史新高，而《紐約時報》選舉指針也首度轉向川普勝選，預測川普機率高達81%。,https://www.ettoday.net/news/20241106/2849523.htm,2011 ETtoday.net. All Rights Reserved.,https://www.ettoday.net,11/13/2024 20:19
