"識別碼","來源媒體","新聞分類","發布日期","新聞連結","folder","新聞標題","Source"
"news_e1dd0a5f7a389a1f8936b8843ddb3adc","自由時報","國際新聞",2024-10-30 07:28:30,"https://news.ltn.com.tw/news/world/breakingnews/4846869","國際新聞","風向變了？ 美第三大報《今日美國報》放棄為總統候選人背書","NDC"
"news_cf249d6e7ec13f0540cadc0d1cc2bb5f","自由時報","國際新聞",2024-11-05 12:40:14,"https://news.ltn.com.tw/news/world/breakingnews/4853573","國際新聞","祝禱「賀錦麗必勝！」 印度小村莊鄉親為她勝選祈福","NDC"
"news_206c88736880dd390d7d3ec2cbb57dcb","自由時報","國際新聞",2024-10-22 05:08:16,"https://news.ltn.com.tw/news/world/breakingnews/4838304","國際新聞","川普炸薯條大戰賀錦麗 賓州選情白熱化","NDC"
"news_b23ab13b733ab4284e64bbfc4e13359c","自由時報","國際新聞",2024-10-29 09:14:13,"https://news.ltn.com.tw/news/world/breakingnews/4845686","國際新聞","保守派智庫：美媒偏離中立創新高 川普85％負面vs.賀錦麗78％正面","NDC"
"news_fdadf634862d183182b092b95a21036c","自由時報","國際新聞",2024-08-13 07:21:17,"https://news.ltn.com.tw/news/world/breakingnews/4767515","國際新聞","民主黨上演「宮鬥劇」？ 美媒曝賀錦麗團隊「茶壺內風暴」","NDC"
"news_2fb258e525e4549de9c8ef2c77aa3960","自由時報","國際新聞",2024-09-25 08:00:10,"https://news.ltn.com.tw/news/world/breakingnews/4810742","國際新聞","川普稱生命受伊朗威脅 美情報單位示警","NDC"
"news_1c5503ea4abd2966b079712727add332","自由時報","國際新聞",2024-09-26 05:08:25,"https://news.ltn.com.tw/news/world/breakingnews/4811582","國際新聞","澤倫斯基公開批評川普搭檔 共和黨警告「恐影響未來軍援」","NDC"
"news_2b0588d6ebc2734563f44e61d0b3811e","自由時報","國際新聞",2024-07-22 12:38:13,"https://news.ltn.com.tw/news/world/breakingnews/4744907","國際新聞","民主黨高層重大誤判！ 華爾街日報：低估81歲拜登高齡風險","NDC"
"news_3076b8daaaae35dd748d146a4280bb23","自由時報","國際新聞",2024-08-06 16:52:16,"https://news.ltn.com.tw/news/world/breakingnews/4760778","國際新聞","賀錦麗公布副手人選 明尼蘇達州長華茲出線","NDC"
"news_051ce794886ce2ec108f3a4e9e02f1fb","自由時報","國際新聞",2024-11-06 09:00:56,"https://news.ltn.com.tw/news/world/breakingnews/4854570","國際新聞","看到川普當選超嗨！以色列總理納坦雅胡：史上最偉大逆轉","NDC"
